ID,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing
1128,0_to_200,23,credits_paid_to_date,car_used,2641,less_100,4_to_7,3,male,none,2,real_estate,33,none,own
1129,no_checking,37,outstanding_credit,appliances,3072,500_to_1000,greater_7,3,female,none,3,car_other,34,none,own
1130,no_checking,63,outstanding_credit,other,8244,greater_1000,greater_7,4,male,co-applicant,5,car_other,52,none,free
1131,0_to_200,19,prior_payments_delayed,repairs,1822,greater_1000,4_to_7,4,male,none,3,savings_insurance,19,none,own
1132,no_checking,25,prior_payments_delayed,car_used,4317,100_to_500,4_to_7,4,male,none,4,car_other,39,none,own
1133,less_0,9,prior_payments_delayed,car_new,250,less_100,4_to_7,1,female,none,1,real_estate,29,stores,own
1134,less_0,22,prior_payments_delayed,furniture,4428,less_100,1_to_4,3,female,none,3,savings_insurance,32,none,rent
1135,less_0,11,no_credits,car_used,368,less_100,unemployed,1,male,none,2,real_estate,19,none,rent
1136,less_0,17,credits_paid_to_date,car_used,2065,less_100,less_1,3,female,none,3,savings_insurance,25,none,own
1137,less_0,4,all_credits_paid_back,car_used,250,less_100,unemployed,1,male,none,1,real_estate,19,stores,rent
1138,no_checking,25,prior_payments_delayed,car_used,4998,500_to_1000,4_to_7,3,male,guarantor,5,car_other,60,none,free
1139,less_0,4,credits_paid_to_date,car_used,1694,less_100,1_to_4,3,female,none,1,savings_insurance,26,none,own
1140,less_0,8,all_credits_paid_back,education,2704,less_100,unemployed,2,female,none,3,real_estate,19,none,own
1141,less_0,19,prior_payments_delayed,furniture,250,less_100,less_1,2,male,none,3,savings_insurance,19,stores,own
1142,less_0,8,all_credits_paid_back,car_new,3350,less_100,less_1,1,female,none,1,car_other,32,none,own
1143,0_to_200,9,prior_payments_delayed,car_new,329,less_100,1_to_4,2,male,none,3,real_estate,23,stores,own
1144,0_to_200,15,credits_paid_to_date,car_new,1323,less_100,4_to_7,3,female,none,2,real_estate,29,none,own
1145,0_to_200,4,all_credits_paid_back,car_used,3562,less_100,1_to_4,3,female,none,2,savings_insurance,21,none,own
1146,less_0,12,credits_paid_to_date,car_used,250,less_100,less_1,2,female,none,2,real_estate,24,none,own
1147,0_to_200,19,prior_payments_delayed,radio_tv,358,100_to_500,greater_7,3,female,none,2,car_other,40,none,own
1148,less_0,13,credits_paid_to_date,car_used,250,500_to_1000,unemployed,1,male,none,2,savings_insurance,19,none,rent
1149,no_checking,24,prior_payments_delayed,radio_tv,7173,greater_1000,1_to_4,4,male,none,4,savings_insurance,51,stores,rent
1150,no_checking,33,outstanding_credit,repairs,5363,500_to_1000,4_to_7,4,male,none,3,savings_insurance,49,stores,own
1151,less_0,4,credits_paid_to_date,car_used,250,100_to_500,1_to_4,2,female,none,1,savings_insurance,26,bank,rent
1152,0_to_200,19,credits_paid_to_date,retraining,3233,less_100,4_to_7,2,female,none,1,car_other,34,stores,free
1153,no_checking,8,prior_payments_delayed,furniture,811,100_to_500,4_to_7,3,male,none,2,real_estate,32,none,own
1154,less_0,25,prior_payments_delayed,radio_tv,4531,less_100,less_1,3,male,none,3,car_other,27,none,own
1155,no_checking,18,credits_paid_to_date,radio_tv,5093,500_to_1000,1_to_4,3,male,none,4,car_other,48,stores,own
1156,no_checking,41,prior_payments_delayed,other,7242,500_to_1000,4_to_7,4,male,none,4,car_other,41,none,own
1157,no_checking,28,prior_payments_delayed,radio_tv,1820,unknown,less_1,2,female,none,4,savings_insurance,28,bank,rent
1158,greater_200,31,prior_payments_delayed,radio_tv,3914,100_to_500,1_to_4,4,female,co-applicant,3,real_estate,52,none,free
1159,no_checking,18,outstanding_credit,radio_tv,4224,unknown,4_to_7,3,male,none,4,car_other,42,stores,own
1160,less_0,16,prior_payments_delayed,furniture,869,less_100,4_to_7,3,male,none,3,car_other,37,none,own
1161,no_checking,11,credits_paid_to_date,car_used,4025,less_100,1_to_4,2,female,none,2,savings_insurance,40,none,own
1162,less_0,19,credits_paid_to_date,vacation,3268,less_100,1_to_4,3,female,none,2,savings_insurance,22,none,own
1163,no_checking,15,outstanding_credit,radio_tv,2953,unknown,4_to_7,2,male,none,2,savings_insurance,43,stores,own
1164,greater_200,19,credits_paid_to_date,furniture,4480,less_100,1_to_4,3,male,none,2,car_other,42,none,own
1165,less_0,22,prior_payments_delayed,radio_tv,3841,less_100,4_to_7,3,male,co-applicant,2,unknown,52,stores,own
1166,no_checking,31,prior_payments_delayed,appliances,6610,100_to_500,1_to_4,4,female,none,3,savings_insurance,48,none,own
1167,greater_200,20,credits_paid_to_date,car_new,3846,less_100,4_to_7,4,male,none,4,savings_insurance,32,none,own
1168,less_0,15,credits_paid_to_date,retraining,1302,less_100,less_1,1,female,none,2,real_estate,20,none,rent
1169,greater_200,14,credits_paid_to_date,vacation,1995,less_100,1_to_4,2,male,none,1,real_estate,20,none,own
1170,less_0,17,credits_paid_to_date,radio_tv,2533,less_100,less_1,2,female,none,3,savings_insurance,32,none,own
1171,no_checking,8,all_credits_paid_back,furniture,250,less_100,less_1,2,female,none,2,real_estate,19,none,own
1172,no_checking,47,credits_paid_to_date,repairs,4952,unknown,4_to_7,3,male,none,4,car_other,41,none,own
1173,no_checking,8,prior_payments_delayed,car_new,1110,500_to_1000,1_to_4,3,female,none,3,car_other,36,none,own
1174,no_checking,40,prior_payments_delayed,radio_tv,5538,500_to_1000,greater_7,4,male,co-applicant,3,unknown,44,none,free
1175,no_checking,22,prior_payments_delayed,radio_tv,7110,500_to_1000,4_to_7,3,male,none,2,savings_insurance,51,none,own
1176,0_to_200,14,credits_paid_to_date,car_new,3148,less_100,1_to_4,3,male,none,3,car_other,41,none,own
1177,0_to_200,13,credits_paid_to_date,furniture,250,less_100,less_1,2,female,co-applicant,2,real_estate,19,none,own
1178,less_0,10,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,2,real_estate,36,stores,rent
1179,no_checking,13,outstanding_credit,car_used,6281,100_to_500,greater_7,4,male,none,4,savings_insurance,31,none,free
1180,no_checking,25,outstanding_credit,radio_tv,6683,500_to_1000,4_to_7,3,female,none,3,unknown,44,none,own
1181,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,savings_insurance,19,none,rent
1182,0_to_200,17,credits_paid_to_date,car_used,4490,less_100,1_to_4,2,female,none,2,savings_insurance,32,none,free
1183,no_checking,8,credits_paid_to_date,car_new,2971,less_100,4_to_7,3,male,co-applicant,4,car_other,47,none,own
1184,no_checking,39,prior_payments_delayed,furniture,7177,500_to_1000,greater_7,4,male,co-applicant,5,unknown,49,none,free
1185,0_to_200,8,all_credits_paid_back,car_used,2069,less_100,4_to_7,2,female,none,2,real_estate,20,none,own
1186,no_checking,28,prior_payments_delayed,radio_tv,4153,100_to_500,1_to_4,3,female,none,3,car_other,41,none,own
1187,no_checking,30,prior_payments_delayed,furniture,5546,unknown,greater_7,4,male,none,5,car_other,37,none,own
1188,no_checking,33,outstanding_credit,repairs,5034,500_to_1000,greater_7,4,female,none,3,car_other,43,none,own
1189,0_to_200,20,credits_paid_to_date,car_new,2499,less_100,1_to_4,3,male,none,3,car_other,31,none,free
1190,less_0,17,credits_paid_to_date,car_new,1312,500_to_1000,1_to_4,3,male,none,3,savings_insurance,22,stores,rent
1191,no_checking,32,prior_payments_delayed,appliances,2879,500_to_1000,1_to_4,4,male,none,2,car_other,46,none,own
1192,no_checking,35,outstanding_credit,radio_tv,6924,unknown,greater_7,5,male,co-applicant,5,car_other,53,none,free
1193,greater_200,27,credits_paid_to_date,car_new,1471,100_to_500,1_to_4,3,female,none,3,car_other,33,none,own
1194,no_checking,40,prior_payments_delayed,furniture,5234,500_to_1000,4_to_7,4,male,none,5,car_other,54,none,free
1195,less_0,10,credits_paid_to_date,furniture,250,less_100,less_1,2,female,none,1,real_estate,22,stores,own
1196,no_checking,26,credits_paid_to_date,retraining,5217,100_to_500,greater_7,3,male,none,3,savings_insurance,42,none,own
1197,no_checking,19,all_credits_paid_back,car_new,1593,less_100,1_to_4,2,female,none,3,real_estate,27,none,free
1198,no_checking,40,prior_payments_delayed,radio_tv,7030,unknown,greater_7,4,male,co-applicant,4,car_other,45,none,own
1199,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,19,bank,rent
1200,no_checking,40,outstanding_credit,repairs,10920,greater_1000,greater_7,6,male,co-applicant,6,unknown,54,stores,free
1201,less_0,10,all_credits_paid_back,car_new,1693,less_100,1_to_4,3,female,none,2,car_other,31,none,rent
1202,less_0,9,all_credits_paid_back,car_used,489,less_100,1_to_4,2,female,none,3,real_estate,23,none,own
1203,less_0,20,no_credits,vacation,862,less_100,unemployed,2,female,none,1,savings_insurance,19,none,rent
1204,no_checking,31,credits_paid_to_date,car_used,5636,100_to_500,greater_7,3,female,none,3,car_other,50,none,own
1205,less_0,12,all_credits_paid_back,furniture,250,less_100,1_to_4,1,female,none,2,savings_insurance,28,stores,rent
1206,0_to_200,16,prior_payments_delayed,car_used,3218,less_100,less_1,2,male,none,3,savings_insurance,35,bank,rent
1207,less_0,4,all_credits_paid_back,car_new,687,less_100,unemployed,2,male,none,2,real_estate,19,none,rent
1208,0_to_200,20,prior_payments_delayed,furniture,2732,greater_1000,4_to_7,2,male,none,1,unknown,38,stores,own
1209,no_checking,12,all_credits_paid_back,car_new,1927,500_to_1000,less_1,3,male,none,3,savings_insurance,36,none,own
1210,less_0,20,credits_paid_to_date,appliances,2615,less_100,less_1,2,female,none,1,savings_insurance,32,stores,own
1211,no_checking,12,credits_paid_to_date,car_new,4916,100_to_500,4_to_7,3,female,none,4,car_other,48,none,own
1212,less_0,20,all_credits_paid_back,furniture,2734,less_100,less_1,3,male,none,2,real_estate,26,none,own
1213,0_to_200,14,prior_payments_delayed,furniture,5834,greater_1000,4_to_7,3,male,none,4,savings_insurance,32,none,rent
1214,less_0,9,all_credits_paid_back,car_used,250,100_to_500,unemployed,2,male,none,2,real_estate,19,none,rent
1215,0_to_200,19,all_credits_paid_back,car_new,250,less_100,4_to_7,3,female,none,3,savings_insurance,25,stores,own
1216,no_checking,54,outstanding_credit,other,7465,greater_1000,greater_7,5,male,co-applicant,3,unknown,48,none,free
1217,0_to_200,4,all_credits_paid_back,radio_tv,250,less_100,less_1,2,female,none,2,real_estate,19,none,rent
1218,less_0,8,prior_payments_delayed,car_used,840,less_100,1_to_4,2,female,none,1,car_other,30,none,rent
1219,0_to_200,8,prior_payments_delayed,appliances,250,greater_1000,less_1,1,male,co-applicant,3,savings_insurance,45,stores,rent
1220,no_checking,33,credits_paid_to_date,car_used,5485,500_to_1000,1_to_4,3,female,none,4,car_other,39,none,own
1221,no_checking,29,prior_payments_delayed,radio_tv,3573,greater_1000,greater_7,3,male,none,4,car_other,58,bank,own
1222,less_0,31,credits_paid_to_date,radio_tv,2246,less_100,less_1,2,male,none,1,real_estate,23,bank,rent
1223,less_0,4,credits_paid_to_date,car_used,559,500_to_1000,1_to_4,3,male,none,2,savings_insurance,22,none,own
1224,greater_200,36,prior_payments_delayed,radio_tv,4469,100_to_500,greater_7,4,male,none,2,savings_insurance,34,none,own
1225,no_checking,22,prior_payments_delayed,radio_tv,3298,100_to_500,4_to_7,4,female,co-applicant,3,car_other,52,none,own
1226,no_checking,42,prior_payments_delayed,other,6096,500_to_1000,greater_7,4,female,none,3,savings_insurance,47,none,free
1227,no_checking,27,outstanding_credit,radio_tv,2422,500_to_1000,greater_7,3,female,none,2,savings_insurance,45,none,own
1228,0_to_200,13,credits_paid_to_date,car_used,2309,less_100,less_1,1,female,none,1,savings_insurance,32,stores,own
1229,no_checking,36,outstanding_credit,radio_tv,5832,unknown,greater_7,5,male,co-applicant,4,unknown,70,none,free
1230,no_checking,42,prior_payments_delayed,radio_tv,7306,500_to_1000,greater_7,4,male,co-applicant,4,car_other,58,none,own
1231,0_to_200,24,prior_payments_delayed,retraining,2410,100_to_500,4_to_7,3,female,none,1,car_other,37,stores,own
1232,no_checking,27,all_credits_paid_back,radio_tv,7104,less_100,4_to_7,3,male,none,3,savings_insurance,50,none,own
1233,no_checking,20,credits_paid_to_date,radio_tv,6486,100_to_500,4_to_7,4,male,none,2,car_other,42,none,free
1234,0_to_200,25,prior_payments_delayed,car_used,2487,greater_1000,1_to_4,2,female,none,2,savings_insurance,35,stores,own
1235,no_checking,25,prior_payments_delayed,radio_tv,7515,greater_1000,4_to_7,4,male,none,4,unknown,34,stores,rent
1236,0_to_200,13,credits_paid_to_date,car_new,5740,less_100,less_1,2,male,none,3,unknown,35,none,own
1237,no_checking,42,outstanding_credit,vacation,7686,unknown,greater_7,4,male,co-applicant,3,unknown,43,none,free
1238,no_checking,46,outstanding_credit,education,8073,unknown,greater_7,5,male,co-applicant,4,car_other,55,none,own
1239,0_to_200,20,prior_payments_delayed,furniture,4293,less_100,1_to_4,2,female,none,1,car_other,34,stores,own
1240,0_to_200,18,credits_paid_to_date,furniture,2949,500_to_1000,1_to_4,3,male,none,3,savings_insurance,33,bank,rent
1241,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,1,real_estate,19,stores,rent
1242,less_0,28,credits_paid_to_date,car_new,1735,less_100,4_to_7,2,male,none,3,savings_insurance,34,stores,own
1243,less_0,10,prior_payments_delayed,car_used,4046,less_100,4_to_7,3,male,none,3,unknown,31,stores,own
1244,0_to_200,25,credits_paid_to_date,education,2228,greater_1000,greater_7,3,male,none,2,savings_insurance,43,none,own
1245,less_0,11,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,stores,own
1246,no_checking,36,prior_payments_delayed,appliances,7624,greater_1000,greater_7,5,male,co-applicant,3,car_other,46,none,own
1247,0_to_200,4,credits_paid_to_date,education,3511,100_to_500,1_to_4,2,male,none,3,real_estate,24,none,rent
1248,0_to_200,24,all_credits_paid_back,vacation,6401,less_100,less_1,3,male,none,4,car_other,25,none,own
1249,0_to_200,12,prior_payments_delayed,retraining,3293,100_to_500,1_to_4,2,male,none,2,savings_insurance,27,none,own
1250,0_to_200,17,credits_paid_to_date,car_used,1717,500_to_1000,unemployed,1,male,none,3,real_estate,31,none,rent
1251,less_0,21,all_credits_paid_back,radio_tv,435,500_to_1000,less_1,1,female,none,2,real_estate,19,stores,rent
1252,no_checking,30,prior_payments_delayed,business,7542,100_to_500,4_to_7,5,male,none,4,unknown,55,none,free
1253,0_to_200,15,no_credits,car_used,3626,less_100,unemployed,2,male,none,1,savings_insurance,22,none,own
1254,greater_200,20,outstanding_credit,furniture,5134,100_to_500,4_to_7,4,male,none,4,car_other,43,none,own
1255,less_0,26,outstanding_credit,radio_tv,1853,100_to_500,greater_7,4,female,none,2,car_other,37,stores,own
1256,no_checking,39,prior_payments_delayed,appliances,7305,500_to_1000,greater_7,5,male,co-applicant,5,car_other,45,none,free
1257,0_to_200,14,prior_payments_delayed,furniture,2411,less_100,1_to_4,2,male,none,2,savings_insurance,23,none,own
1258,greater_200,25,credits_paid_to_date,car_used,3691,100_to_500,1_to_4,4,male,none,3,car_other,36,none,own
1259,0_to_200,4,prior_payments_delayed,radio_tv,2401,100_to_500,less_1,3,male,none,2,savings_insurance,21,stores,rent
1260,no_checking,29,outstanding_credit,repairs,6824,unknown,1_to_4,4,female,none,4,car_other,60,stores,free
1261,0_to_200,4,prior_payments_delayed,vacation,3497,500_to_1000,1_to_4,3,male,co-applicant,2,savings_insurance,41,none,own
1262,no_checking,26,outstanding_credit,radio_tv,5182,greater_1000,4_to_7,4,male,none,3,car_other,48,none,own
1263,0_to_200,23,outstanding_credit,appliances,250,100_to_500,greater_7,4,male,none,2,car_other,33,none,own
1264,no_checking,40,prior_payments_delayed,other,8285,500_to_1000,4_to_7,5,male,none,3,unknown,48,none,free
1265,less_0,4,credits_paid_to_date,car_used,619,100_to_500,less_1,1,female,none,2,savings_insurance,19,stores,rent
1266,no_checking,28,prior_payments_delayed,car_used,5308,greater_1000,1_to_4,4,male,none,3,savings_insurance,42,none,own
1267,no_checking,27,outstanding_credit,furniture,2266,500_to_1000,greater_7,3,male,none,3,savings_insurance,63,none,own
1268,less_0,19,credits_paid_to_date,radio_tv,1080,less_100,1_to_4,3,female,none,3,savings_insurance,43,none,rent
1269,less_0,25,prior_payments_delayed,radio_tv,3358,100_to_500,4_to_7,2,female,none,2,savings_insurance,23,bank,own
1270,less_0,16,prior_payments_delayed,radio_tv,2878,100_to_500,less_1,2,male,none,2,car_other,29,none,own
1271,no_checking,15,outstanding_credit,furniture,4088,500_to_1000,greater_7,4,male,none,4,unknown,56,none,own
1272,no_checking,26,outstanding_credit,appliances,6986,500_to_1000,4_to_7,5,female,none,4,unknown,44,none,free
1273,less_0,12,all_credits_paid_back,car_used,1844,less_100,1_to_4,1,female,co-applicant,2,real_estate,22,stores,own
1274,0_to_200,15,all_credits_paid_back,appliances,5566,100_to_500,less_1,2,male,none,2,car_other,33,stores,rent
1275,less_0,4,credits_paid_to_date,car_used,250,less_100,less_1,1,male,none,2,savings_insurance,19,none,rent
1276,0_to_200,15,no_credits,car_new,2949,100_to_500,1_to_4,2,male,none,3,car_other,37,none,own
1277,no_checking,8,prior_payments_delayed,radio_tv,4375,100_to_500,1_to_4,3,male,none,3,savings_insurance,42,none,own
1278,no_checking,32,outstanding_credit,furniture,5460,500_to_1000,1_to_4,4,male,none,5,car_other,41,none,own
1279,greater_200,29,prior_payments_delayed,education,6295,100_to_500,1_to_4,4,male,none,4,savings_insurance,31,none,own
1280,0_to_200,31,prior_payments_delayed,radio_tv,2777,greater_1000,1_to_4,2,male,none,2,savings_insurance,30,none,own
1281,less_0,10,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,1,real_estate,21,stores,rent
1282,no_checking,42,prior_payments_delayed,repairs,8226,500_to_1000,4_to_7,4,male,co-applicant,5,unknown,50,none,free
1283,less_0,16,credits_paid_to_date,car_used,333,100_to_500,less_1,1,male,none,2,real_estate,19,bank,rent
1284,less_0,14,credits_paid_to_date,car_new,5946,less_100,less_1,2,male,co-applicant,1,car_other,57,bank,free
1285,less_0,9,all_credits_paid_back,car_new,2693,less_100,less_1,1,female,none,1,real_estate,19,none,own
1286,less_0,15,credits_paid_to_date,furniture,286,100_to_500,less_1,2,female,none,3,real_estate,28,none,rent
1287,no_checking,8,credits_paid_to_date,furniture,5368,less_100,1_to_4,4,male,none,3,car_other,53,none,own
1288,less_0,20,no_credits,vacation,2447,less_100,unemployed,2,female,none,2,real_estate,26,none,own
1289,less_0,4,no_credits,car_new,1833,less_100,unemployed,1,female,none,1,real_estate,23,none,rent
1290,no_checking,26,prior_payments_delayed,furniture,4324,100_to_500,1_to_4,3,female,none,4,savings_insurance,50,none,own
1291,no_checking,33,prior_payments_delayed,furniture,4331,500_to_1000,4_to_7,4,male,none,3,car_other,45,stores,own
1292,no_checking,36,outstanding_credit,appliances,8248,500_to_1000,greater_7,5,male,co-applicant,5,car_other,51,none,free
1293,0_to_200,13,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,real_estate,22,none,rent
1294,no_checking,26,prior_payments_delayed,radio_tv,5723,100_to_500,greater_7,5,male,none,4,unknown,45,none,free
1295,greater_200,26,outstanding_credit,radio_tv,6559,100_to_500,greater_7,5,female,none,3,unknown,34,none,free
1296,0_to_200,15,prior_payments_delayed,repairs,2152,500_to_1000,1_to_4,3,male,none,4,savings_insurance,42,stores,own
1297,0_to_200,18,credits_paid_to_date,car_new,452,less_100,1_to_4,2,male,none,3,real_estate,20,none,own
1298,less_0,10,all_credits_paid_back,car_new,4973,less_100,1_to_4,3,male,none,2,savings_insurance,25,none,rent
1299,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,42,stores,rent
1300,0_to_200,15,prior_payments_delayed,radio_tv,5076,less_100,1_to_4,2,male,none,3,car_other,38,none,own
1301,no_checking,26,prior_payments_delayed,appliances,4486,500_to_1000,4_to_7,4,female,none,4,car_other,48,none,own
1302,less_0,8,prior_payments_delayed,car_new,4334,less_100,1_to_4,1,male,none,2,unknown,45,stores,own
1303,0_to_200,15,prior_payments_delayed,car_used,876,greater_1000,greater_7,3,male,co-applicant,2,savings_insurance,38,stores,own
1304,0_to_200,24,outstanding_credit,radio_tv,4829,100_to_500,4_to_7,3,male,none,2,car_other,41,none,own
1305,no_checking,26,prior_payments_delayed,car_used,1475,unknown,greater_7,4,male,none,4,savings_insurance,46,none,own
1306,0_to_200,16,credits_paid_to_date,furniture,3073,100_to_500,1_to_4,2,male,none,3,real_estate,36,none,own
1307,no_checking,17,outstanding_credit,radio_tv,2634,500_to_1000,greater_7,4,female,none,4,car_other,50,none,own
1308,no_checking,28,prior_payments_delayed,furniture,4749,100_to_500,4_to_7,4,female,none,3,car_other,42,none,own
1309,no_checking,19,outstanding_credit,car_used,3812,500_to_1000,4_to_7,4,female,none,3,car_other,53,stores,own
1310,no_checking,34,outstanding_credit,radio_tv,6163,500_to_1000,1_to_4,3,male,none,3,car_other,49,none,own
1311,less_0,17,credits_paid_to_date,car_new,250,500_to_1000,1_to_4,1,male,none,3,savings_insurance,38,none,own
1312,no_checking,33,prior_payments_delayed,business,8495,100_to_500,4_to_7,5,male,none,3,car_other,50,none,free
1313,no_checking,8,credits_paid_to_date,car_new,3676,greater_1000,1_to_4,2,male,none,4,car_other,31,none,rent
1314,0_to_200,32,outstanding_credit,furniture,4843,100_to_500,greater_7,4,male,none,4,unknown,39,bank,own
1315,no_checking,28,outstanding_credit,appliances,4868,greater_1000,4_to_7,4,female,co-applicant,4,savings_insurance,40,none,own
1316,no_checking,37,outstanding_credit,repairs,11676,500_to_1000,greater_7,6,male,co-applicant,5,unknown,58,none,free
1317,0_to_200,12,credits_paid_to_date,car_used,3355,500_to_1000,4_to_7,3,male,none,2,real_estate,19,none,rent
1318,0_to_200,13,credits_paid_to_date,car_new,3380,less_100,1_to_4,3,female,none,1,savings_insurance,36,none,own
1319,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,stores,rent
1320,no_checking,26,prior_payments_delayed,car_used,3869,unknown,4_to_7,4,male,none,4,savings_insurance,43,none,own
1321,less_0,14,all_credits_paid_back,car_used,250,less_100,unemployed,2,male,none,2,real_estate,19,stores,rent
1322,no_checking,31,outstanding_credit,repairs,9942,greater_1000,greater_7,4,male,co-applicant,5,unknown,57,none,free
1323,less_0,20,prior_payments_delayed,furniture,1333,less_100,4_to_7,2,male,none,3,savings_insurance,39,stores,own
1324,0_to_200,27,credits_paid_to_date,car_new,1634,less_100,4_to_7,3,male,none,3,savings_insurance,45,none,free
1325,less_0,4,no_credits,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,none,rent
1326,less_0,17,prior_payments_delayed,furniture,3016,less_100,less_1,1,female,co-applicant,3,unknown,35,stores,free
1327,less_0,12,all_credits_paid_back,car_used,250,less_100,less_1,1,female,none,1,savings_insurance,20,stores,own
1328,0_to_200,19,credits_paid_to_date,car_used,1448,less_100,4_to_7,2,male,none,3,car_other,31,stores,own
1329,less_0,14,prior_payments_delayed,radio_tv,250,100_to_500,less_1,1,male,none,2,real_estate,24,stores,rent
1330,0_to_200,21,credits_paid_to_date,retraining,2573,less_100,1_to_4,3,male,none,3,real_estate,28,none,rent
1331,less_0,4,all_credits_paid_back,car_used,250,less_100,1_to_4,1,female,none,1,real_estate,23,stores,own
1332,less_0,27,credits_paid_to_date,car_used,1656,less_100,1_to_4,3,male,none,2,savings_insurance,30,none,own
1333,less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,1,real_estate,37,stores,rent
1334,0_to_200,19,prior_payments_delayed,car_used,4215,100_to_500,1_to_4,3,female,none,2,savings_insurance,40,none,own
1335,no_checking,34,outstanding_credit,furniture,7820,unknown,4_to_7,5,male,co-applicant,5,unknown,41,none,own
1336,no_checking,27,all_credits_paid_back,radio_tv,5595,less_100,4_to_7,4,male,none,3,savings_insurance,35,stores,own
1337,less_0,4,credits_paid_to_date,car_new,990,100_to_500,unemployed,1,female,none,2,car_other,24,stores,rent
1338,greater_200,32,prior_payments_delayed,furniture,6049,100_to_500,4_to_7,4,male,none,4,car_other,41,none,own
1339,0_to_200,8,all_credits_paid_back,car_new,5082,less_100,less_1,2,female,none,3,real_estate,19,none,own
1340,no_checking,32,outstanding_credit,radio_tv,5197,500_to_1000,greater_7,5,male,none,5,unknown,55,none,own
1341,no_checking,34,prior_payments_delayed,business,4134,unknown,greater_7,5,female,none,4,unknown,37,none,own
1342,0_to_200,15,credits_paid_to_date,car_new,1733,less_100,less_1,2,female,none,2,real_estate,31,bank,rent
1343,0_to_200,4,credits_paid_to_date,car_new,1969,less_100,1_to_4,3,male,none,3,car_other,29,stores,rent
1344,no_checking,38,prior_payments_delayed,appliances,6691,500_to_1000,1_to_4,4,male,none,4,unknown,39,none,own
1345,no_checking,38,credits_paid_to_date,appliances,5581,100_to_500,less_1,4,male,none,3,savings_insurance,27,none,own
1346,no_checking,29,prior_payments_delayed,car_used,4478,100_to_500,1_to_4,4,female,none,4,car_other,55,none,own
1347,no_checking,21,outstanding_credit,furniture,3736,500_to_1000,greater_7,4,female,none,3,unknown,52,none,free
1348,0_to_200,21,prior_payments_delayed,education,3165,less_100,4_to_7,3,male,none,2,savings_insurance,40,none,own
1349,no_checking,23,outstanding_credit,appliances,8300,500_to_1000,1_to_4,4,male,none,5,car_other,28,none,own
1350,less_0,16,credits_paid_to_date,car_new,1891,less_100,unemployed,2,female,none,2,real_estate,19,none,rent
1351,no_checking,30,prior_payments_delayed,business,3851,100_to_500,1_to_4,4,male,none,4,car_other,23,stores,own
1352,greater_200,25,credits_paid_to_date,radio_tv,3064,100_to_500,less_1,3,male,none,2,savings_insurance,29,none,own
1353,0_to_200,4,all_credits_paid_back,car_new,2813,100_to_500,4_to_7,3,male,none,4,car_other,19,none,own
1354,less_0,14,all_credits_paid_back,car_new,496,less_100,4_to_7,3,female,none,1,real_estate,34,stores,rent
1355,0_to_200,18,credits_paid_to_date,car_used,250,less_100,less_1,2,female,co-applicant,3,real_estate,42,none,own
1356,0_to_200,22,all_credits_paid_back,car_new,3147,100_to_500,1_to_4,3,male,none,4,car_other,34,none,own
1357,no_checking,12,credits_paid_to_date,car_new,2048,less_100,less_1,2,female,none,4,real_estate,35,none,rent
1358,greater_200,19,credits_paid_to_date,retraining,3284,greater_1000,less_1,2,female,none,3,real_estate,33,none,own
1359,0_to_200,19,prior_payments_delayed,furniture,509,less_100,1_to_4,2,male,co-applicant,3,savings_insurance,23,bank,own
1360,0_to_200,14,credits_paid_to_date,furniture,2175,100_to_500,1_to_4,2,male,none,2,savings_insurance,37,none,rent
1361,less_0,20,prior_payments_delayed,car_new,1774,less_100,1_to_4,2,male,none,1,savings_insurance,30,stores,own
1362,less_0,12,prior_payments_delayed,car_used,1097,less_100,1_to_4,2,male,none,3,savings_insurance,34,none,own
1363,less_0,17,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,3,male,none,3,real_estate,29,bank,rent
1364,no_checking,26,prior_payments_delayed,radio_tv,4798,100_to_500,4_to_7,4,male,none,4,savings_insurance,41,none,own
1365,0_to_200,21,credits_paid_to_date,radio_tv,4660,500_to_1000,1_to_4,3,male,none,4,savings_insurance,20,none,own
1366,0_to_200,33,prior_payments_delayed,radio_tv,2605,greater_1000,greater_7,2,male,none,2,savings_insurance,40,none,own
1367,0_to_200,4,credits_paid_to_date,car_used,250,less_100,less_1,1,female,none,1,savings_insurance,30,none,rent
1368,0_to_200,16,credits_paid_to_date,car_used,4801,less_100,1_to_4,3,female,none,3,car_other,35,none,own
