ID,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
675,1,skilled,2,none,yes,Risk
676,2,unemployed,1,none,yes,Risk
677,1,skilled,1,none,yes,No Risk
678,2,skilled,2,yes,yes,No Risk
679,1,skilled,1,none,yes,No Risk
680,1,management_self-employed,1,none,yes,No Risk
681,1,management_self-employed,1,none,yes,No Risk
682,1,skilled,1,none,yes,No Risk
683,2,skilled,2,yes,yes,Risk
684,1,unskilled,1,none,yes,No Risk
685,1,management_self-employed,1,none,yes,No Risk
686,2,management_self-employed,1,yes,yes,Risk
687,2,unskilled,1,none,yes,Risk
688,2,skilled,1,yes,yes,Risk
689,1,skilled,1,none,yes,No Risk
690,1,skilled,1,none,yes,No Risk
691,2,skilled,1,none,yes,No Risk
692,2,management_self-employed,1,yes,yes,Risk
693,2,skilled,1,none,yes,Risk
694,1,skilled,1,none,yes,No Risk
695,2,skilled,2,yes,yes,Risk
696,1,skilled,1,none,yes,No Risk
697,1,skilled,1,none,yes,No Risk
698,1,skilled,1,none,yes,No Risk
699,2,unskilled,1,yes,yes,No Risk
700,2,skilled,2,yes,yes,No Risk
701,1,skilled,1,none,yes,No Risk
702,1,skilled,1,none,yes,No Risk
703,2,skilled,1,yes,yes,No Risk
704,2,skilled,1,yes,no,Risk
705,1,skilled,2,yes,yes,Risk
706,2,skilled,1,none,yes,No Risk
707,3,skilled,2,yes,yes,Risk
708,2,unemployed,1,none,yes,No Risk
709,1,skilled,1,none,yes,No Risk
710,2,skilled,1,none,yes,No Risk
711,1,management_self-employed,1,none,yes,No Risk
712,1,skilled,1,none,yes,No Risk
713,1,skilled,1,none,yes,No Risk
714,2,skilled,1,none,yes,No Risk
715,1,skilled,1,none,yes,No Risk
716,2,unskilled,1,none,yes,Risk
717,1,skilled,1,none,yes,No Risk
718,2,management_self-employed,1,yes,yes,Risk
719,1,management_self-employed,1,yes,yes,No Risk
720,3,unskilled,2,yes,yes,Risk
721,3,unemployed,1,none,yes,No Risk
722,3,skilled,2,yes,yes,Risk
723,2,management_self-employed,2,yes,yes,Risk
724,2,unskilled,2,yes,no,Risk
725,1,unskilled,1,yes,yes,No Risk
726,2,skilled,1,yes,yes,Risk
727,1,unskilled,1,none,yes,No Risk
728,2,skilled,1,none,yes,Risk
729,1,skilled,1,none,yes,Risk
730,2,skilled,1,none,yes,Risk
731,2,skilled,2,yes,yes,No Risk
732,2,skilled,1,none,yes,No Risk
733,1,unemployed,1,none,yes,No Risk
734,2,management_self-employed,2,yes,yes,No Risk
735,1,unemployed,1,none,yes,No Risk
736,2,unemployed,1,none,yes,No Risk
737,1,skilled,2,yes,yes,No Risk
738,2,unskilled,1,yes,yes,No Risk
739,2,unskilled,1,none,yes,Risk
740,2,skilled,2,yes,yes,Risk
741,1,skilled,1,none,yes,Risk
742,1,skilled,2,none,yes,Risk
743,1,skilled,1,none,yes,No Risk
744,2,skilled,1,yes,yes,No Risk
745,2,skilled,1,yes,yes,Risk
746,1,management_self-employed,1,none,yes,No Risk
747,2,skilled,1,none,yes,No Risk
748,2,management_self-employed,1,yes,yes,Risk
749,1,skilled,1,none,yes,No Risk
750,1,unskilled,1,yes,yes,No Risk
751,1,skilled,1,none,yes,No Risk
752,1,skilled,1,none,yes,No Risk
753,3,skilled,2,yes,yes,Risk
754,1,skilled,1,none,yes,Risk
755,2,management_self-employed,1,none,yes,No Risk
756,2,unemployed,1,yes,yes,Risk
757,2,skilled,1,none,no,Risk
758,1,skilled,1,none,yes,No Risk
759,1,skilled,1,none,yes,No Risk
760,1,skilled,1,none,yes,No Risk
761,1,skilled,1,none,yes,Risk
762,1,skilled,1,none,yes,No Risk
763,1,skilled,1,none,yes,No Risk
764,1,unskilled,1,yes,yes,Risk
765,1,skilled,1,none,yes,No Risk
766,2,skilled,1,yes,yes,Risk
767,1,skilled,1,none,yes,No Risk
768,3,skilled,2,yes,yes,Risk
769,1,unskilled,2,none,yes,No Risk
770,1,skilled,2,yes,yes,No Risk
771,1,skilled,2,none,yes,No Risk
772,2,skilled,2,yes,yes,Risk
773,1,skilled,1,none,yes,No Risk
774,1,skilled,1,yes,yes,Risk
775,1,unskilled,1,none,yes,No Risk
776,2,skilled,1,yes,yes,Risk
777,1,skilled,1,yes,yes,No Risk
778,1,unskilled,2,none,yes,No Risk
779,2,skilled,1,yes,yes,Risk
780,1,skilled,1,none,yes,No Risk
781,2,skilled,1,none,yes,No Risk
782,2,skilled,2,yes,yes,Risk
783,1,skilled,1,none,yes,No Risk
784,2,skilled,1,none,yes,No Risk
785,1,skilled,1,none,yes,No Risk
786,1,skilled,1,none,yes,Risk
787,1,skilled,1,none,yes,No Risk
788,2,skilled,1,yes,yes,No Risk
789,2,skilled,1,yes,yes,Risk
790,2,management_self-employed,1,none,yes,No Risk
791,1,skilled,1,none,yes,No Risk
792,1,unskilled,2,none,yes,Risk
793,1,skilled,1,none,yes,No Risk
794,1,unskilled,1,yes,yes,No Risk
795,2,skilled,1,none,yes,Risk
796,2,skilled,1,yes,yes,Risk
797,2,skilled,1,yes,yes,Risk
798,1,skilled,1,none,yes,No Risk
799,1,skilled,1,none,yes,No Risk
800,2,skilled,1,yes,yes,No Risk
801,1,unemployed,1,yes,yes,Risk
802,2,unskilled,1,none,yes,Risk
803,1,unskilled,1,none,yes,No Risk
804,1,skilled,1,yes,yes,No Risk
805,1,unskilled,1,none,yes,No Risk
806,2,skilled,1,yes,yes,Risk
807,1,unskilled,1,none,yes,Risk
808,1,unemployed,1,none,yes,No Risk
809,1,skilled,1,none,yes,No Risk
810,1,skilled,1,none,yes,No Risk
811,1,skilled,1,none,yes,No Risk
812,2,unemployed,2,yes,yes,No Risk
813,1,unemployed,1,yes,yes,No Risk
814,1,unemployed,1,none,yes,No Risk
815,1,skilled,1,none,yes,No Risk
816,2,skilled,1,yes,yes,Risk
817,1,skilled,1,none,yes,No Risk
818,2,skilled,1,none,yes,Risk
819,1,skilled,1,none,yes,No Risk
820,2,management_self-employed,2,yes,yes,Risk
821,1,skilled,1,yes,yes,No Risk
822,1,skilled,1,none,yes,No Risk
823,1,unskilled,1,yes,yes,No Risk
824,2,management_self-employed,1,yes,yes,No Risk
825,2,skilled,1,yes,yes,Risk
826,1,unemployed,1,yes,yes,No Risk
827,1,skilled,1,none,yes,No Risk
828,2,skilled,1,none,yes,Risk
829,1,skilled,1,none,yes,No Risk
830,1,skilled,1,none,yes,No Risk
831,1,management_self-employed,1,none,yes,No Risk
832,2,skilled,1,yes,yes,Risk
833,1,skilled,1,none,yes,No Risk
834,1,skilled,1,none,yes,No Risk
835,1,skilled,1,none,yes,No Risk
836,2,skilled,1,none,yes,No Risk
837,1,unskilled,2,yes,no,Risk
838,1,skilled,1,none,yes,No Risk
839,1,skilled,1,none,yes,Risk
840,1,skilled,1,none,yes,No Risk
841,1,skilled,1,none,yes,No Risk
842,2,skilled,1,none,yes,No Risk
843,2,management_self-employed,1,yes,yes,No Risk
844,2,skilled,2,yes,yes,Risk
845,1,unskilled,1,yes,yes,Risk
846,2,skilled,1,none,yes,No Risk
847,1,skilled,1,none,yes,No Risk
848,2,management_self-employed,1,yes,yes,Risk
849,1,skilled,1,none,yes,No Risk
850,2,skilled,1,yes,yes,Risk
851,1,unskilled,1,none,yes,No Risk
852,1,unskilled,2,none,yes,No Risk
853,1,skilled,1,yes,yes,No Risk
854,2,skilled,1,yes,yes,Risk
855,2,skilled,1,yes,yes,Risk
856,3,unskilled,2,yes,yes,No Risk
857,1,skilled,1,none,yes,No Risk
858,1,skilled,2,none,yes,No Risk
859,1,skilled,1,yes,yes,Risk
860,2,skilled,1,yes,yes,No Risk
861,1,skilled,1,none,yes,No Risk
862,1,management_self-employed,1,none,yes,No Risk
863,2,management_self-employed,1,none,yes,No Risk
864,3,management_self-employed,2,yes,yes,Risk
865,1,skilled,1,none,yes,No Risk
866,2,unskilled,2,yes,yes,No Risk
867,1,skilled,1,none,yes,No Risk
868,1,skilled,1,none,yes,No Risk
869,2,unskilled,2,yes,yes,No Risk
870,2,unskilled,1,none,yes,No Risk
871,1,skilled,2,yes,yes,Risk
872,1,unskilled,1,none,yes,No Risk
873,2,skilled,2,yes,yes,Risk
874,1,management_self-employed,1,none,yes,No Risk
875,1,skilled,1,none,yes,No Risk
876,2,unskilled,2,yes,yes,No Risk
877,2,unskilled,1,none,yes,No Risk
878,2,management_self-employed,2,yes,yes,Risk
879,1,skilled,1,yes,yes,Risk
880,2,skilled,1,yes,yes,Risk
881,1,skilled,1,yes,yes,Risk
882,1,skilled,1,none,yes,No Risk
883,1,unskilled,1,none,yes,No Risk
884,2,unskilled,1,yes,yes,Risk
885,1,skilled,1,none,yes,No Risk
886,2,management_self-employed,1,yes,yes,Risk
887,1,skilled,1,none,yes,No Risk
888,2,skilled,1,none,yes,No Risk
889,1,skilled,1,none,yes,No Risk
890,2,skilled,2,yes,yes,Risk
891,2,management_self-employed,2,yes,yes,No Risk
892,2,skilled,1,yes,yes,No Risk
893,1,skilled,1,none,no,No Risk
894,2,skilled,1,yes,yes,No Risk
895,2,skilled,1,none,yes,No Risk
896,2,unskilled,1,yes,yes,Risk
897,1,skilled,1,yes,yes,Risk
898,1,skilled,1,none,yes,No Risk
899,2,management_self-employed,2,yes,yes,Risk
900,2,management_self-employed,1,yes,yes,No Risk
901,1,skilled,1,none,yes,No Risk
902,1,skilled,1,yes,yes,No Risk
903,2,unskilled,1,yes,yes,No Risk
904,2,skilled,1,none,yes,No Risk
905,2,skilled,2,yes,yes,Risk
906,2,skilled,1,yes,yes,Risk
907,1,management_self-employed,1,none,yes,No Risk
908,2,skilled,1,yes,yes,Risk
909,2,management_self-employed,1,none,yes,No Risk
910,2,unemployed,1,yes,yes,Risk
911,2,skilled,1,yes,yes,No Risk
912,3,skilled,1,yes,yes,No Risk
913,1,skilled,1,yes,yes,No Risk
914,2,management_self-employed,1,none,yes,No Risk
915,1,skilled,1,none,yes,Risk
916,2,management_self-employed,1,none,yes,Risk
917,1,skilled,1,none,yes,No Risk
918,2,skilled,1,none,yes,No Risk
919,2,skilled,1,yes,yes,No Risk
920,1,skilled,1,none,yes,No Risk
921,1,skilled,1,none,yes,Risk
922,2,skilled,1,none,yes,No Risk
923,3,skilled,2,yes,yes,Risk
924,1,skilled,2,yes,yes,Risk
925,2,skilled,1,none,yes,Risk
926,1,skilled,1,none,yes,No Risk
927,1,management_self-employed,1,none,yes,Risk
928,1,unskilled,1,yes,yes,No Risk
929,1,unskilled,1,none,yes,No Risk
930,1,skilled,1,none,yes,No Risk
931,1,skilled,1,none,yes,No Risk
932,1,skilled,1,none,yes,No Risk
933,1,skilled,1,none,yes,Risk
934,1,skilled,1,none,yes,No Risk
935,1,unskilled,1,yes,yes,No Risk
936,2,management_self-employed,1,yes,yes,Risk
937,1,management_self-employed,1,yes,yes,No Risk
938,2,unskilled,2,yes,yes,Risk
939,2,skilled,1,yes,yes,Risk
940,3,skilled,2,yes,yes,No Risk
941,1,skilled,1,none,yes,No Risk
942,2,unemployed,1,yes,yes,No Risk
943,1,skilled,1,none,yes,No Risk
944,2,management_self-employed,2,yes,yes,No Risk
945,1,management_self-employed,1,none,yes,No Risk
946,2,skilled,1,none,yes,Risk
947,2,management_self-employed,1,none,yes,No Risk
948,2,skilled,1,yes,yes,Risk
949,1,skilled,1,yes,yes,Risk
950,1,skilled,1,yes,yes,No Risk
951,1,skilled,1,none,yes,No Risk
952,2,skilled,1,yes,yes,Risk
953,1,skilled,1,none,yes,No Risk
954,2,management_self-employed,1,none,yes,Risk
955,1,skilled,1,none,yes,Risk
956,2,skilled,1,none,yes,No Risk
957,1,skilled,2,none,yes,No Risk
958,1,skilled,1,yes,no,Risk
959,1,unemployed,1,none,yes,No Risk
960,2,management_self-employed,2,none,yes,No Risk
961,1,unemployed,1,none,yes,No Risk
962,2,unskilled,1,none,yes,No Risk
963,1,unemployed,1,yes,yes,No Risk
964,1,skilled,1,yes,yes,Risk
965,1,unskilled,2,none,yes,Risk
966,2,management_self-employed,1,none,yes,Risk
967,1,unemployed,1,none,yes,No Risk
968,1,unemployed,2,none,yes,No Risk
969,1,skilled,1,none,yes,No Risk
970,1,skilled,1,none,yes,Risk
971,1,unemployed,1,yes,yes,No Risk
972,2,skilled,1,yes,yes,Risk
973,1,skilled,1,none,yes,No Risk
974,2,skilled,1,yes,yes,Risk
975,1,management_self-employed,1,none,yes,No Risk
976,2,management_self-employed,2,yes,yes,Risk
977,1,skilled,1,yes,yes,No Risk
978,2,skilled,1,yes,no,Risk
979,1,skilled,1,none,yes,No Risk
980,1,skilled,2,none,yes,No Risk
981,1,unskilled,1,none,yes,No Risk
982,2,skilled,1,yes,yes,No Risk
983,1,skilled,1,none,yes,No Risk
984,2,skilled,1,none,yes,Risk
985,4,unskilled,2,yes,yes,Risk
986,2,skilled,1,yes,yes,No Risk
987,1,skilled,1,none,yes,No Risk
988,2,management_self-employed,1,yes,yes,No Risk
989,1,skilled,1,none,yes,Risk
990,2,skilled,1,yes,yes,Risk
991,2,skilled,1,none,yes,Risk
992,1,skilled,1,none,yes,Risk
993,1,skilled,1,none,yes,No Risk
994,1,skilled,1,none,yes,Risk
995,1,skilled,1,none,yes,Risk
996,2,skilled,2,yes,yes,Risk
997,1,unemployed,1,none,yes,No Risk
998,3,skilled,2,yes,yes,Risk
999,1,skilled,1,none,yes,No Risk
1000,1,skilled,1,none,yes,No Risk
1001,2,management_self-employed,1,none,yes,No Risk
1002,1,unskilled,2,yes,yes,No Risk
1003,1,skilled,1,none,yes,No Risk
1004,3,skilled,1,none,yes,No Risk
1005,1,management_self-employed,1,none,yes,No Risk
1006,1,skilled,1,none,yes,No Risk
1007,1,unskilled,1,none,yes,No Risk
1008,2,management_self-employed,1,yes,yes,Risk
1009,1,management_self-employed,1,none,yes,No Risk
1010,2,skilled,1,yes,yes,No Risk
1011,1,management_self-employed,1,none,yes,No Risk
1012,2,skilled,1,none,yes,Risk
1013,1,unemployed,1,none,yes,No Risk
1014,2,unskilled,1,none,yes,Risk
1015,2,skilled,1,none,yes,No Risk
1016,2,management_self-employed,2,none,yes,Risk
1017,1,skilled,1,none,yes,No Risk
1018,2,skilled,2,yes,yes,Risk
1019,2,skilled,1,none,yes,No Risk
1020,2,skilled,1,none,yes,No Risk
1021,1,management_self-employed,1,none,yes,No Risk
1022,1,skilled,1,none,yes,No Risk
1023,1,skilled,1,none,yes,No Risk
1024,3,skilled,1,none,yes,No Risk
1025,1,skilled,1,none,yes,No Risk
1026,1,skilled,1,none,yes,No Risk
1027,1,skilled,1,none,yes,No Risk
1028,2,skilled,1,none,yes,No Risk
1029,1,skilled,1,none,no,No Risk
1030,1,management_self-employed,2,none,yes,No Risk
1031,1,unskilled,1,none,yes,Risk
1032,2,unemployed,1,none,yes,No Risk
1033,1,unskilled,1,yes,yes,No Risk
1034,1,skilled,1,none,yes,Risk
1035,1,unskilled,1,yes,yes,No Risk
1036,1,skilled,1,none,yes,No Risk
1037,1,unemployed,1,none,yes,No Risk
1038,2,skilled,1,yes,yes,Risk
1039,2,skilled,1,yes,no,Risk
1040,1,skilled,1,yes,yes,No Risk
1041,1,skilled,1,yes,no,Risk
1042,1,skilled,1,none,yes,Risk
1043,1,skilled,1,none,yes,No Risk
1044,2,management_self-employed,1,yes,yes,No Risk
1045,1,skilled,1,none,yes,No Risk
1046,1,management_self-employed,1,none,yes,No Risk
1047,1,skilled,1,none,no,No Risk
1048,1,skilled,2,none,no,Risk
1049,1,skilled,1,none,yes,No Risk
1050,3,skilled,1,none,yes,Risk
1051,2,skilled,1,none,yes,Risk
1052,3,skilled,2,yes,yes,No Risk
1053,2,skilled,1,none,yes,Risk
1054,2,skilled,1,yes,no,Risk
1055,1,skilled,1,none,yes,No Risk
1056,3,skilled,2,yes,yes,Risk
1057,2,skilled,1,none,yes,No Risk
1058,1,management_self-employed,2,none,yes,No Risk
1059,1,skilled,2,none,yes,No Risk
1060,2,skilled,1,yes,yes,Risk
1061,3,skilled,1,none,yes,Risk
1062,2,management_self-employed,1,yes,yes,Risk
1063,1,unskilled,1,yes,yes,No Risk
1064,1,skilled,1,none,yes,Risk
1065,2,skilled,1,yes,yes,Risk
1066,1,skilled,1,yes,yes,Risk
1067,1,unskilled,1,none,yes,No Risk
1068,2,skilled,2,none,yes,No Risk
1069,2,unskilled,2,yes,yes,No Risk
1070,1,skilled,1,yes,yes,No Risk
1071,1,skilled,1,none,yes,No Risk
1072,1,skilled,1,none,yes,No Risk
1073,1,skilled,1,none,yes,No Risk
1074,2,skilled,1,yes,no,Risk
1075,2,skilled,2,yes,yes,Risk
1076,1,skilled,1,none,yes,No Risk
1077,2,skilled,1,yes,yes,Risk
1078,2,skilled,1,none,yes,Risk
1079,1,skilled,1,none,yes,No Risk
1080,1,skilled,1,none,yes,No Risk
1081,2,skilled,1,none,yes,No Risk
1082,2,skilled,1,none,yes,No Risk
1083,3,skilled,1,none,yes,No Risk
1084,1,skilled,2,yes,yes,Risk
1085,1,management_self-employed,1,yes,yes,No Risk
1086,1,skilled,2,yes,yes,No Risk
1087,2,skilled,1,yes,yes,Risk
1088,1,skilled,1,yes,no,Risk
1089,1,management_self-employed,2,none,yes,Risk
1090,1,skilled,1,yes,yes,Risk
1091,2,management_self-employed,1,yes,yes,Risk
1092,1,skilled,1,yes,yes,Risk
1093,1,unskilled,1,none,yes,No Risk
1094,1,management_self-employed,1,yes,yes,No Risk
1095,2,skilled,1,yes,yes,Risk
1096,2,management_self-employed,1,none,yes,No Risk
1097,1,skilled,1,yes,yes,No Risk
1098,2,skilled,1,none,yes,No Risk
1099,1,skilled,1,yes,yes,No Risk
1100,1,unskilled,1,none,yes,Risk
1101,1,skilled,2,yes,yes,No Risk
1102,2,management_self-employed,2,yes,yes,Risk
1103,1,management_self-employed,1,none,yes,No Risk
1104,1,skilled,1,none,yes,No Risk
1105,1,skilled,1,none,yes,No Risk
1106,2,skilled,2,yes,yes,Risk
1107,1,management_self-employed,1,none,yes,No Risk
1108,1,skilled,1,yes,yes,No Risk
1109,1,skilled,1,none,yes,No Risk
1110,1,skilled,1,none,yes,No Risk
1111,1,skilled,1,none,yes,No Risk
1112,1,skilled,1,none,yes,No Risk
1113,2,skilled,1,none,yes,Risk
1114,1,skilled,1,yes,yes,No Risk
1115,1,skilled,1,none,yes,No Risk
1116,1,skilled,2,none,yes,Risk
1117,2,skilled,2,yes,yes,No Risk
1118,2,unskilled,1,none,yes,No Risk
1119,1,skilled,1,none,yes,No Risk
1120,2,skilled,1,none,yes,Risk
1121,1,skilled,1,none,yes,No Risk
1122,3,unemployed,1,yes,yes,Risk
1123,1,skilled,1,none,yes,No Risk
1124,1,skilled,1,none,yes,No Risk
1125,2,management_self-employed,1,none,yes,Risk
1126,1,unskilled,1,yes,yes,No Risk
1127,1,skilled,1,none,yes,No Risk
1128,2,skilled,1,yes,yes,No Risk
1129,1,skilled,1,yes,yes,Risk
1130,2,skilled,2,yes,yes,Risk
1131,2,skilled,1,none,yes,Risk
1132,1,management_self-employed,1,none,no,No Risk
1133,1,skilled,1,none,yes,No Risk
1134,2,skilled,1,none,yes,Risk
1135,1,management_self-employed,1,none,yes,No Risk
1136,1,skilled,1,yes,yes,No Risk
1137,1,skilled,1,none,yes,No Risk
1138,2,skilled,1,yes,yes,Risk
1139,1,skilled,1,none,yes,No Risk
1140,1,management_self-employed,1,none,yes,No Risk
1141,1,skilled,1,none,yes,No Risk
1142,2,skilled,1,yes,yes,No Risk
1143,1,skilled,2,yes,yes,Risk
1144,1,skilled,1,none,yes,No Risk
1145,1,skilled,1,none,yes,No Risk
1146,1,skilled,1,none,yes,No Risk
1147,2,skilled,1,none,yes,No Risk
1148,1,skilled,1,none,yes,No Risk
1149,3,unskilled,2,yes,yes,No Risk
1150,2,unemployed,2,yes,yes,Risk
1151,1,unskilled,1,none,yes,No Risk
1152,1,skilled,1,yes,yes,Risk
1153,1,management_self-employed,1,yes,yes,Risk
1154,2,skilled,1,yes,yes,No Risk
1155,2,unskilled,1,none,yes,Risk
1156,2,management_self-employed,1,none,yes,No Risk
1157,2,unemployed,1,yes,yes,No Risk
1158,2,skilled,1,yes,yes,Risk
1159,2,unskilled,2,yes,yes,No Risk
1160,1,skilled,1,yes,yes,No Risk
1161,1,skilled,2,none,yes,No Risk
1162,1,skilled,1,none,yes,No Risk
1163,2,unskilled,1,none,yes,No Risk
1164,2,skilled,2,yes,yes,Risk
1165,1,skilled,1,yes,yes,No Risk
1166,2,skilled,1,none,yes,No Risk
1167,2,management_self-employed,1,yes,yes,Risk
1168,1,skilled,1,none,yes,No Risk
1169,1,skilled,1,none,no,No Risk
1170,1,skilled,1,none,yes,No Risk
1171,1,management_self-employed,1,none,yes,No Risk
1172,2,skilled,2,yes,yes,No Risk
1173,1,skilled,1,yes,no,No Risk
1174,2,skilled,1,yes,yes,Risk
1175,2,skilled,1,none,yes,No Risk
1176,2,skilled,1,none,yes,No Risk
1177,1,skilled,1,none,yes,No Risk
1178,1,unskilled,1,none,yes,No Risk
1179,1,management_self-employed,1,none,yes,No Risk
1180,3,skilled,1,yes,yes,Risk
1181,1,skilled,1,none,yes,No Risk
1182,1,skilled,1,none,yes,No Risk
1183,1,skilled,2,yes,yes,Risk
1184,2,skilled,1,yes,yes,Risk
1185,1,skilled,1,none,yes,No Risk
1186,1,skilled,1,yes,yes,No Risk
1187,2,skilled,1,none,yes,No Risk
1188,2,skilled,1,yes,yes,Risk
1189,1,skilled,2,yes,yes,No Risk
1190,2,unskilled,1,yes,yes,No Risk
1191,2,skilled,1,yes,yes,Risk
1192,3,skilled,2,yes,yes,Risk
1193,2,skilled,1,yes,yes,No Risk
1194,2,skilled,1,yes,yes,Risk
1195,1,skilled,1,none,yes,No Risk
1196,1,skilled,1,none,yes,No Risk
1197,1,skilled,1,none,yes,Risk
1198,2,skilled,2,yes,yes,Risk
1199,1,unskilled,1,none,yes,No Risk
1200,2,unskilled,2,yes,yes,Risk
1201,1,skilled,1,none,yes,No Risk
1202,1,skilled,1,none,yes,No Risk
1203,1,skilled,1,none,yes,No Risk
1204,2,skilled,1,none,yes,Risk
1205,1,skilled,1,none,yes,No Risk
1206,1,unskilled,1,yes,yes,Risk
1207,1,skilled,1,none,yes,No Risk
1208,2,skilled,1,yes,yes,Risk
1209,1,skilled,1,yes,yes,No Risk
1210,1,skilled,1,none,yes,No Risk
1211,2,skilled,1,none,yes,Risk
1212,1,skilled,1,none,yes,No Risk
1213,1,management_self-employed,1,none,yes,Risk
1214,1,skilled,1,none,yes,No Risk
1215,1,skilled,1,none,yes,No Risk
1216,2,skilled,1,yes,yes,No Risk
1217,1,skilled,1,none,yes,No Risk
1218,1,skilled,1,none,yes,No Risk
1219,1,skilled,1,none,yes,No Risk
1220,1,skilled,1,none,yes,Risk
1221,2,unemployed,2,yes,yes,Risk
1222,1,unemployed,1,yes,yes,No Risk
1223,1,skilled,1,none,yes,No Risk
1224,2,skilled,1,yes,yes,No Risk
1225,1,skilled,1,yes,yes,Risk
1226,2,skilled,1,none,no,Risk
1227,1,skilled,1,yes,yes,Risk
1228,1,skilled,1,none,yes,Risk
1229,3,skilled,2,yes,yes,Risk
1230,2,skilled,1,yes,yes,Risk
1231,1,unskilled,1,none,yes,No Risk
1232,1,skilled,2,yes,yes,Risk
1233,2,management_self-employed,1,yes,yes,No Risk
1234,1,skilled,1,none,yes,No Risk
1235,1,unskilled,2,none,yes,No Risk
1236,1,skilled,2,none,yes,No Risk
1237,2,skilled,2,yes,yes,Risk
1238,2,skilled,2,yes,yes,Risk
1239,2,unskilled,1,none,yes,Risk
1240,2,unskilled,1,none,yes,No Risk
1241,1,skilled,1,none,yes,No Risk
1242,1,skilled,1,none,yes,No Risk
1243,1,skilled,1,none,yes,No Risk
1244,2,skilled,1,none,yes,Risk
1245,1,skilled,1,none,yes,No Risk
1246,2,skilled,1,none,yes,No Risk
1247,1,skilled,2,none,yes,No Risk
1248,1,management_self-employed,1,yes,yes,No Risk
1249,2,skilled,1,none,yes,No Risk
1250,1,skilled,1,none,yes,No Risk
1251,1,skilled,1,none,yes,No Risk
1252,2,management_self-employed,2,yes,yes,Risk
1253,1,skilled,1,none,yes,No Risk
1254,2,skilled,1,yes,yes,Risk
1255,1,unskilled,1,none,yes,No Risk
1256,2,skilled,2,yes,yes,Risk
1257,1,skilled,1,none,yes,No Risk
1258,1,skilled,1,yes,yes,No Risk
1259,1,unskilled,1,none,yes,No Risk
1260,3,unskilled,2,yes,yes,Risk
1261,2,skilled,1,yes,yes,No Risk
1262,2,skilled,1,yes,yes,No Risk
1263,1,skilled,1,yes,yes,No Risk
1264,2,management_self-employed,2,yes,yes,Risk
1265,1,skilled,1,none,yes,No Risk
1266,2,skilled,1,none,yes,No Risk
1267,2,skilled,2,yes,yes,Risk
1268,1,skilled,1,yes,yes,Risk
1269,1,unskilled,2,yes,yes,No Risk
1270,1,skilled,2,none,yes,No Risk
1271,2,skilled,1,yes,yes,No Risk
1272,2,management_self-employed,1,yes,no,Risk
1273,1,unskilled,1,none,yes,Risk
1274,2,unskilled,1,none,yes,No Risk
1275,1,skilled,1,none,yes,No Risk
1276,2,skilled,1,yes,yes,No Risk
1277,1,management_self-employed,1,none,yes,Risk
1278,1,management_self-employed,1,none,no,Risk
1279,2,management_self-employed,2,yes,yes,No Risk
1280,1,skilled,1,none,yes,No Risk
1281,1,skilled,1,none,yes,No Risk
1282,2,skilled,1,yes,yes,Risk
1283,1,unskilled,1,none,yes,No Risk
1284,2,unemployed,1,yes,yes,No Risk
1285,1,skilled,1,none,yes,No Risk
1286,1,skilled,1,none,yes,No Risk
1287,3,management_self-employed,2,yes,yes,Risk
1288,1,skilled,1,none,yes,No Risk
1289,1,skilled,1,none,yes,No Risk
1290,1,skilled,1,yes,yes,No Risk
1291,1,skilled,1,none,yes,Risk
1292,3,management_self-employed,2,yes,yes,Risk
1293,1,skilled,1,none,yes,No Risk
1294,2,skilled,1,yes,no,Risk
1295,1,skilled,1,yes,yes,Risk
1296,1,skilled,1,yes,yes,No Risk
1297,1,skilled,1,none,yes,No Risk
1298,1,management_self-employed,1,none,yes,No Risk
1299,1,skilled,1,none,yes,No Risk
1300,2,skilled,1,none,yes,Risk
1301,1,skilled,1,yes,yes,Risk
1302,1,skilled,1,none,yes,No Risk
1303,1,skilled,1,none,yes,No Risk
1304,2,skilled,1,yes,yes,No Risk
1305,1,skilled,2,yes,yes,No Risk
1306,1,skilled,1,none,yes,No Risk
1307,1,skilled,1,none,no,Risk
1308,2,skilled,1,none,yes,Risk
1309,1,unskilled,2,yes,yes,Risk
1310,2,skilled,1,none,yes,No Risk
1311,2,skilled,1,none,yes,No Risk
1312,2,management_self-employed,2,yes,yes,No Risk
1313,1,skilled,1,none,yes,No Risk
1314,2,unskilled,1,yes,yes,No Risk
1315,1,skilled,1,none,yes,Risk
1316,2,skilled,2,yes,yes,Risk
1317,1,skilled,1,none,yes,No Risk
1318,2,skilled,1,none,yes,Risk
1319,1,skilled,1,none,yes,No Risk
1320,2,skilled,1,yes,yes,Risk
1321,1,skilled,1,none,yes,No Risk
1322,2,skilled,2,yes,yes,Risk
1323,1,skilled,1,yes,yes,Risk
1324,2,skilled,1,yes,yes,No Risk
1325,1,skilled,1,none,yes,No Risk
1326,2,skilled,1,none,yes,No Risk
1327,1,skilled,1,none,yes,No Risk
1328,1,skilled,1,none,yes,Risk
1329,1,skilled,1,none,yes,No Risk
1330,1,management_self-employed,1,none,yes,No Risk
1331,1,skilled,1,none,yes,No Risk
1332,1,skilled,1,yes,yes,Risk
1333,1,skilled,1,none,yes,No Risk
1334,1,skilled,1,none,yes,No Risk
1335,2,management_self-employed,2,yes,yes,No Risk
